,ApEn,peek,RMS,label
0,0.06759386307900739,9,472.68264182516,1
1,0.037022339339606525,10,155.18403106020205,1
2,0.009688104930849484,9,304.3018721508812,1
3,0.029392392959657343,12,558.4200844549346,1
4,0.052558210764077185,7,151.88186712869972,1
5,0.014919228496710346,11,138.6961008768361,1
6,0.028358880031776224,11,434.538039321286,1
7,0.017112658308905182,13,231.93083054275039,1
8,0.02991899136856846,9,177.99301853847388,1
9,0.029905926943573746,16,531.7657110837206,1
10,0.07342141835827842,9,461.4866739086975,1
11,0.051432145018036834,14,137.61077214148244,1
12,0.042054153710240794,11,159.6849513617556,1
13,0.06252990408711145,11,261.23077549631523,1
14,0.04738457262089968,10,170.93749571526502,1
15,0.05304366029187513,11,414.9370263544141,1
16,0.05379681124659763,13,183.99705038608974,1
17,0.03652438759904886,15,515.0945979373291,1
18,0.008030447974907595,9,242.75839266033884,1
19,0.014637429497573518,15,159.41225361170484,1
20,0.028393116093959225,12,161.98753629234102,1
21,0.03951658928329227,12,481.7634598534845,1
22,0.030248628962096902,13,396.8959289511153,1
23,0.06736476655880308,8,92.64397842429507,1
24,0.027247466939130494,9,607.4053673399976,1
25,0.03891916218777691,19,575.1185861920947,1
26,0.07096868535422862,7,287.61120216931965,1
27,0.032349975595957314,9,119.27405745278392,1
28,0.06020079086437535,8,192.51915996369036,1
29,0.057387283443785186,11,299.0535697791555,1
30,0.036921215145682584,7,109.54302049808445,1
31,0.024590865186502775,11,287.2726767729791,1
32,0.00917864536698021,9,105.3660031931849,1
33,0.02749413511901677,11,288.04843834333013,1
34,0.0426099779228557,7,115.4019829802818,1
35,0.04421313195619314,15,358.02006329625755,1
36,0.04054743473797684,6,234.38684761721913,1
37,0.016990657365532957,9,467.4527204952791,1
38,0.02845219189079362,13,158.40049031499635,1
39,0.02264193945435311,13,576.8428074542654,1
40,0.0489612118331153,12,290.85481253136635,1
41,0.020001881508139974,17,515.3463096284441,1
42,0.06710951619364636,11,174.4255471092896,1
43,0.027533206880492767,13,300.23241404186564,1
44,0.0372224982443603,11,228.8927385090831,1
45,0.039895645074098596,9,161.69145301023954,1
46,0.022563529321022013,13,305.1352607348911,1
47,0.035556672272792245,9,177.066385524787,1
48,0.03965591573834093,15,638.9364140592845,1
49,0.04957825458557874,7,122.43297951392121,1
50,0.047815441043708606,9,133.18236183484,1
51,0.046336071961857295,4,525.4360596060905,1
52,0.03963986024654709,17,160.74638986760715,1
53,0.05830550135351409,22,581.0788861032554,1
54,0.05172927388164439,7,212.68778123144793,1
55,0.01492373627774235,11,94.92467459863242,1
56,0.016666003801718787,15,327.2190365054614,1
57,0.044209223335565095,11,125.990904464618,1
